国文研書誌ID,公開時期,オープンデータ分類,書名（統一書名）,刊・写,原本請求記号,刊年・書写年,（西暦）,冊数等,(単位),Pages per Scan,Aspect,TitleHiragana,TitleRomanji,NrImages,Estimate
200018772,H29.12,政治・法制,元文武鑑,刊,ＭＹ－１２０１－１０６,元文１,1736,4,冊,2,Portrait,げんぶんぶかん,genbunbukan,292,False
200018773,H29.12,政治・法制,元文武鑑,刊,ＭＹ－１２０１－１０７,元文５,1740,4,冊,2,Portrait,げんぶんぶかん,genbunbukan,286,False
200018774,H29.12,政治・法制,寛保武鑑,刊,ＭＹ－１２０１－１０８,寛保１,1741,1,冊,2,Portrait,かんぽうぶかん,kanpōbukan,284,False
200018775,H29.12,政治・法制,延享武鑑,刊,ＭＹ－１２０１－１０９,延享４,1747,4,冊,2,Portrait,えんきょうぶかん,enkyōbukan,302,False
200018776,H29.12,政治・法制,寛延武鑑,刊,ＭＹ－１２０１－１１０,寛延１,1748,2,冊,2,Portrait,かんえんぶかん,kanenbukan,195,True
200018777,H29.12,政治・法制,宝暦武鑑,刊,ＭＹ－１２０１－１１１,宝暦３,1753,4,冊,2,Portrait,ほうりゃくぶかん,hōryakubukan,315,False
200018779,H29.12,政治・法制,宝暦武鑑,刊,ＭＹ－１２０１－１１２,宝暦６,1756,1,冊,2,Portrait,ほうりゃくぶかん,hōryakubukan,281,False
200018780,H29.12,政治・法制,宝暦武鑑,刊,ＭＹ－１２０１－１１３,宝暦７,1757,1,冊,2,Portrait,ほうりゃくぶかん,hōryakubukan,279,False
200018781,H29.12,政治・法制,宝暦武鑑,刊,ＭＹ－１２０１－１１４,宝暦８,1758,1,冊,2,Portrait,ほうりゃくぶかん,hōryakubukan,281,False
200018782,H29.12,政治・法制,宝暦武鑑,刊,ＭＹ－１２０１－１１５,宝暦１１,1761,4,冊,2,Portrait,ほうりゃくぶかん,hōryakubukan,302,False
200018783,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－１１６,宝暦１１,1761,1,冊,2,Portrait,たいせいぶかん,taiseibukan,81,False
200018784,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－１１７,宝暦１２,1762,4,冊,2,Portrait,たいせいぶかん,taiseibukan,380,False
200018785,H29.12,政治・法制,宝暦武鑑,刊,ＭＹ－１２０１－１１８,宝暦１４,1764,1,冊,2,Portrait,ほうりゃくぶかん,hōryakubukan,399,False
200018787,H29.12,政治・法制,明和武鑑,刊,ＭＹ－１２０１－１１９,明和１,1764,1,冊,2,Portrait,めいわぶかん,meiwabukan,363,False
200018789,H29.12,政治・法制,明和武鑑,刊,ＭＹ－１２０１－１２０,明和２,1765,4,冊,2,Portrait,めいわぶかん,meiwabukan,395,False
200018791,H29.12,政治・法制,安永武鑑,刊,ＭＹ－１２０１－１２１,安永２,1773,4,冊,2,Portrait,あんえいぶかん,aneibukan,433,False
