公開時期,国文研書誌ID,オープンデータ分類,書名（統一書名）,刊・写,原本請求記号,刊年・書写年,（西暦）,冊数等,(単位),K?,X,Y,Width,Height,Comment
H29.12,200019369,政治・法制,文久武鑑,刊,ＭＹ－１２０１－２１５,文久４,1864,5,冊,x,,,,,
H29.12,200019525,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－２９４,文久４,1864,1,冊,x,,,,,
H29.12,200019526,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２９４,文久４,1864,1,冊,x,,,,,
H29.12,200019527,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－２９４,文久４,1864,1,冊,x,,,,,
H29.12,200019528,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２９４,文久４,1864,1,冊,x,,,,,
H29.12,200019529,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２９４,元治１,1864,1,冊,x,,,,,
H29.12,200019533,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－２９６,元治１,1864,1,冊,x,,,,,
H29.12,200019535,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２９７,元治１,1864,1,冊,x,,,,,
H29.12,200019536,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２９７,元治１,1864,1,冊,x,,,,,
H29.12,200019537,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２９７,元治１,1864,1,冊,x,,,,,
H29.12,200019538,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－２９７,元治１,1864,1,冊,x,,,,,
H29.12,200019541,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－２９８,元治１,1864,1,冊,x,,,,,
H29.12,200019542,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２９８,元治１,1864,1,冊,x,,,,,
H29.12,200019543,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－２９８,元治１,1864,1,冊,x,,,,,
H29.12,200019544,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２９８,元治１,1864,1,冊,x,,,,,
H29.12,200019545,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－２９８,元治１,1864,1,冊,x,,,,,
H29.12,200019546,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２９８,元治１,1864,1,冊,x,,,,,
H29.12,200019548,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－２９９,元治１,1864,1,冊,x,,,,,
H29.12,200019549,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２９９,元治１,1864,1,冊,x,,,,,
H29.12,200019550,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－２９９,元治１,1864,1,冊,x,,,,,
H29.12,200019551,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２９９,元治１,1864,1,冊,x,,,,,
H29.12,200019552,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－２９９,元治１,1864,1,冊,x,,,,,
H29.12,200019553,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２９９,元治１,1864,1,冊,x,,,,,
H29.12,200019554,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３００,元治１,1864,1,冊,x,,,,,
H29.12,200019666,政治・法制,昇栄武鑑,刊,ＭＹ－１２０１－３２７,元治１,1864,1,冊,x,,,,,
H29.12,200006176,政治・法制,袖珍武鑑,刊,ラ８－１６,元治１,1864,1,冊,,,,,,Old Scan
H29.12,200019370,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２１６,元治２,1865,5,冊,x,,,,,
H29.12,200019371,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２１７,慶応１,1865,1,冊,x,,,,,
H29.12,200019556,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０１,元治２,1865,1,冊,x,,,,,
H29.12,200019557,政治・法制,有司武鑑,刊,ＭＹ－１２０１－３０１,元治２,1865,1,冊,x,,,,,
H29.12,200019558,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０１,元治２,1865,1,冊,x,,,,,
H29.12,200019559,政治・法制,有司武鑑,刊,ＭＹ－１２０１－３０１,元治２,1865,1,冊,x,,,,,
H29.12,200019560,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０１,元治２,1865,1,冊,x,,,,,
H29.12,200019561,政治・法制,有司武鑑,刊,ＭＹ－１２０１－３０１,元治２,1865,1,冊,x,,,,,
H29.12,200019565,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,x,,,,,
H29.12,200019566,政治・法制,有司武鑑,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,x,,,,,
H29.12,200019568,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,x,,,,,
H29.12,200019569,政治・法制,有司武鑑,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,x,,,,,
H29.12,200019570,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,x,,,,,
H29.12,200019571,政治・法制,有司武鑑,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,x,,,,,
H29.12,200019572,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,x,,,,,
H29.12,200019573,政治・法制,有司武鑑,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,x,,,,,
H29.12,200019576,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０３,慶応１,1865,1,冊,x,,,,,
H29.12,200019578,政治・法制,有司武鑑,刊,ＭＹ－１２０１－３０３,慶応１,1865,1,冊,x,,,,,
H29.12,200019579,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０３,慶応１,1865,1,冊,x,,,,,
H29.12,200019580,政治・法制,有司武鑑,刊,ＭＹ－１２０１－３０３,慶応１,1865,1,冊,x,,,,,
H29.12,200019581,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０３,慶応１,1865,1,冊,x,,,,,
H29.12,200019583,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３０３,慶応１,1865,1,冊,x,,,,,
H29.12,200019585,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０４,慶応１,1865,1,冊,x,,,,,
H29.12,200019586,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３０４,慶応１,1865,1,冊,x,,,,,
H29.12,200019587,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０４,慶応１,1865,1,冊,x,,,,,
H29.12,200019588,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３０４,慶応１,1865,1,冊,x,,,,,
H29.12,200019589,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０４,慶応１,1865,1,冊,x,,,,,
H29.12,200019590,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３０４,慶応１,1865,1,冊,x,,,,,
H29.12,200019373,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２１８,慶応２,1866,1,冊,x,,,,,
H29.12,200019375,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２１９,慶応２,1866,4,冊,x,,,,,
H29.12,200019592,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３０５,慶応２,1866,1,冊,x,,,,,
H29.12,200019593,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０５,慶応２,1866,1,冊,x,,,,,
H29.12,200019594,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０５,慶応２,1866,1,冊,x,,,,,
H29.12,200019595,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３０５,慶応２,1866,1,冊,x,,,,,
H29.12,200019596,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０５,慶応２,1866,1,冊,x,,,,,
H29.12,200019597,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３０５,慶応２,1866,1,冊,x,,,,,
H29.12,200019599,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０６,慶応２,1866,1,冊,x,,,,,
H29.12,200019600,政治・法制,有司武鑑,刊,ＭＹ－１２０１－３０６,慶応２,1866,1,冊,x,,,,,
H29.12,200019601,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０６,慶応２,1866,1,冊,x,,,,,
H29.12,200019602,政治・法制,有司武鑑,刊,ＭＹ－１２０１－３０６,慶応２,1866,1,冊,x,,,,,
H29.12,200019604,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０６,慶応２,1866,1,冊,x,,,,,
H29.12,200019605,政治・法制,有司武鑑,刊,ＭＹ－１２０１－３０６,慶応２,1866,1,冊,x,,,,,
H29.12,200019607,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０７,慶応２,1866,1,冊,x,,,,,
H29.12,200019608,政治・法制,有司武鑑,刊,ＭＹ－１２０１－３０７,慶応２,1866,1,冊,x,,,,,
H29.12,200019609,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０７,慶応２,1866,1,冊,x,,,,,
H29.12,200019610,政治・法制,有司武鑑,刊,ＭＹ－１２０１－３０７,慶応２,1866,1,冊,x,,,,,
H29.12,200019611,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０７,慶応２,1866,1,冊,x,,,,,
H29.12,200019612,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３０７,慶応２,1866,1,冊,x,,,,,
H29.12,200019616,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０８,慶応２,1866,1,冊,x,,,,,
H29.12,200019617,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３０８,慶応２,1866,1,冊,x,,,,,
H29.12,200019618,政治・法制,万世武鑑,刊,ＭＹ－１２０１－３０８,慶応２,1866,1,冊,x,,,,,
H29.12,200019619,政治・法制,有司武鑑,刊,ＭＹ－１２０１－３０８,慶応２,1866,1,冊,x,,,,,
H29.12,200019620,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３０８,慶応２,1866,1,冊,x,,,,,
H29.12,200019621,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３０８,慶応２,1866,1,冊,x,,,,,
H29.12,200019622,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３０９,慶応２,1866,1,冊,x,,,,,
H29.12,200019756,政治・法制,慶応武鑑,刊,９６－５５４－１～４,慶応３,1867,4,冊,x,,,,,
H29.12,200019387,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２２０,慶応３,1867,5,冊,x,,,,,
H29.12,200019388,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２２１,［慶応３］,[1867],1,冊,x,,,,,
H29.12,200019624,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３１０,慶応３,1867,1,冊,x,,,,,
H29.12,200019625,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３１０,慶応３,1867,1,冊,x,,,,,
H29.12,200019626,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３１０,慶応３,1867,1,冊,x,,,,,
H29.12,200019627,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３１０,慶応３,1867,1,冊,x,,,,,
H29.12,200019628,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３１０,慶応３,1867,1,冊,x,,,,,
H29.12,200019629,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３１０,慶応３,1867,1,冊,x,,,,,
H29.12,200019631,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３１１,慶応３,1867,1,冊,x,,,,,
H29.12,200019632,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３１１,慶応３,1867,1,冊,x,,,,,
H29.12,200019633,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３１１,慶応３,1867,1,冊,x,,,,,
H29.12,200019634,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３１１,慶応３,1867,1,冊,x,,,,,
H29.12,200019635,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３１１,慶応３,1867,1,冊,x,,,,,
H29.12,200019636,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３１１,慶応３,1867,1,冊,x,,,,,
H29.12,200019638,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３１２,慶応３,1867,1,冊,x,,,,,
H29.12,200019639,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３１２,慶応３,1867,1,冊,x,,,,,
H29.12,200019640,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３１２,慶応３,1867,1,冊,x,,,,,
H29.12,200019641,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３１２,慶応３,1867,1,冊,x,,,,,
H29.12,200019642,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３１２,慶応３,1867,1,冊,x,,,,,
H29.12,200019643,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３１２,慶応３,1867,1,冊,x,,,,,
H29.12,200019645,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３１３,慶応３,1867,1,冊,x,,,,,
H29.12,200019646,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３１３,慶応３,1867,1,冊,x,,,,,
H29.12,200019648,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３１３,慶応３,1867,1,冊,x,,,,,
H29.12,200019649,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－３１３,慶応３,1867,1,冊,x,,,,,
H29.12,200019650,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－３１４,慶応３,1867,1,冊,x,,,,,
H29.12,200017805,政治・法制,京都武鑑,刊,ＭＹ－１２０１－３６９,慶応３,1867,1,枚,,,,,,One foldable Brochure
H29.12,200017808,政治・法制,京都武鑑,刊,ＭＹ－１２０１－３７０,慶応３,1867,1,枚,,,,,,Brochure
H29.12,200017810,政治・法制,京都武鑑,刊,ＭＹ－１２０１－３７１,慶応３,1867,1,枚,,,,,,Brochure
H29.12,200019651,政治・法制,御国分武鑑,刊,ＭＹ－１２０１－３１５,慶応４,1868,1,冊,x,,,,,
H29.12,200019652,政治・法制,御国分武鑑,刊,ＭＹ－１２０１－３１６,慶応４,1868,1,冊,x,,,,,
H29.12,200019654,政治・法制,懐宝御国分略武鑑,刊,ＭＹ－１２０１－３１８,慶応４,1868,1,冊,x,,,,,
H29.12,200018850,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１５４,,,1,冊,x,,,,,
H29.12,200019664,政治・法制,加賀武鑑,写,ＭＹ－１２０１－３２６,,,1,冊,,,,,,No symbols; different layout
H29.12,200018463,政治・法制,鎌倉武鑑,刊,ＭＹ－１４９０－５,,,1,冊,,,,,,Less symbols; more writing
H29.12,200018477,政治・法制,明勇御武鑑,刊,ＭＹ－１４９０－９,,,1,冊,,,,,,No symbols; different layout
H29.12,200018478,政治・法制,勇士御武鑑,刊,ＭＹ－１４９０－１０,,,1,冊,,,,,,No symbols; different layout
H27.11,200018830,政治・法制,寛政武鑑,刊,ＭＹ－１２０１－１４３,寛政8,1796,1,冊,x,,,,,
H27.11,200018823,政治・法制,寛政武鑑,刊,ＭＹ－１２０１－１３９,寛政1,1789,4,冊,x,,,,,
H27.11,200018831,政治・法制,寛政武鑑,刊,ＭＹ－１２０１－１４４,寛政9,1797,1,冊,x,,,,,
H27.11,200018833,政治・法制,寛政武鑑,刊,ＭＹ－１２０１－１４５,寛政10,1798,1,冊,x,,,,,
H27.11,200018835,政治・法制,寛政武鑑,刊,ＭＹ－１２０１－１４６,寛政11,1799,1,冊,x,,,,,
H27.11,200018825,政治・法制,寛政武鑑,刊,ＭＹ－１２０１－１４０,寛政3,1791,1,冊,x,,,,,
H27.11,200018839,政治・法制,享和武鑑,刊,ＭＹ－１２０１－１４９,享和4,1804,1,冊,x,,,,,
H27.11,200018841,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１５１,文化2,1805,1,冊,x,,,,,
,,,,,,,,,,352,,,,,
