国文研書誌ID,公開時期,オープンデータ分類,書名（統一書名）,TitleHiragana,TitleRomanji,刊・写,原本請求記号,刊年・書写年,（西暦）,冊数等,(単位),NrPages,Aspect,NrImages
200019414,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２３７,文化７,1810,1,冊,1,Landscape,142
200019415,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２３８,文化９,1812,1,冊,1,Landscape,146
200019416,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２３９,文化９,1812,1,冊,1,Landscape,146
200019417,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２４０,文化１１,1814,1,冊,1,Landscape,156
200019418,H29.12,政治・法制,懐宝略武鑑,かいほうりゃくぶかん,kaihōryakubukan,刊,ＭＹ－１２０１－２４１,文政６,1823,1,冊,1,Landscape,22
200019419,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２４２,文政７,1824,1,冊,1,Landscape,146
200019420,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２４３,文政１２,1829,1,冊,1,Landscape,155
200019421,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－２４４,文政１３,1830,1,冊,1,Landscape,176
200019422,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２４５,天保７,1836,1,冊,1,Landscape,160
200019423,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２４６,天保８,1837,1,冊,1,Landscape,146
200019424,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２４７,天保８,1837,1,冊,1,Landscape,162
200019425,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２４８,天保９,1838,1,冊,1,Landscape,158
200019428,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－２５０,天保９,1838,1,冊,1,Landscape,170
200019429,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２５１,天保１１,1840,1,冊,1,Landscape,144
200019430,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２５２,天保１２,1841,1,冊,1,Landscape,146
200019431,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２５３,天保１２,1841,1,冊,1,Landscape,168
200019432,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２５４,天保１２,1841,1,冊,1,Landscape,166
200019434,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２５５,天保１３,1842,1,冊,1,Landscape,178
200019438,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２５６,天保１５,1844,1,冊,1,Landscape,164
200019439,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－２５７,天保１５,1844,1,冊,1,Landscape,198
200019441,H29.12,政治・法制,万世武鑑,ばんせいぶかん,banseibukan,刊,ＭＹ－１２０１－２５９,弘化３,1846,1,冊,1,Landscape,92
200019442,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２６０,弘化４,1847,1,冊,1,Landscape,164
200019443,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－２６１,弘化４,1847,1,冊,1,Landscape,188
200019444,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－２６２,嘉永２,1849,1,冊,1,Landscape,194
200019445,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２６３,嘉永３,1850,1,冊,1,Landscape,164
200019446,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－２６４,嘉永３,1850,1,冊,1,Landscape,188
200019448,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－２６５,嘉永３,1850,1,冊,1,Landscape,188
200019451,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２６６,嘉永４,1851,1,冊,1,Landscape,146
200019452,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２６７,嘉永５,1852,1,冊,1,Landscape,166
200019453,H29.12,政治・法制,万世武鑑,ばんせいぶかん,banseibukan,刊,ＭＹ－１２０１－２６８,嘉永５,1852,1,冊,1,Landscape,176
200019455,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２６９,嘉永７,1854,1,冊,1,Landscape,166
200019456,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－２７０,安政２,1855,1,冊,1,Landscape,180
200019458,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２７２,安政３,1856,1,冊,1,Landscape,166
200019459,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－２７３,安政３,1856,1,冊,1,Landscape,180
200019461,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２７４,安政４,1857,1,冊,1,Landscape,152
200019462,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２７５,安政４,1857,1,冊,1,Landscape,166
200019464,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２７６,安政５,1858,1,冊,1,Landscape,154
200019465,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２７７,安政５,1858,1,冊,1,Landscape,174
200019472,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２７８,安政５,1858,1,冊,1,Landscape,166
200019473,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２７８,安政５,1858,1,冊,1,Landscape,172
200019474,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２７８,安政５,1858,1,冊,1,Landscape,174
200019475,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２７８,安政５,1858,1,冊,1,Landscape,174
200019476,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２７８,安政５,1858,1,冊,1,Landscape,166
200019477,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２７９,安政５,1858,1,冊,1,Landscape,166
200019478,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８０,安政５,1858,1,冊,1,Landscape,164
200019479,H29.12,政治・法制,懐宝略武鑑,かいほうりゃくぶかん,kaihōryakubukan,刊,ＭＹ－１２０１－２８１,安政５,1858,1,冊,1,Landscape,22
200019480,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－２８２,安政５,1858,1,冊,1,Landscape,186
200019481,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８３,安政６,1859,1,冊,1,Landscape,172
200019483,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８４,安政７,1860,1,冊,1,Landscape,170
200019484,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８４,安政７,1860,1,冊,1,Landscape,170
200019485,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８４,万延１,1860,1,冊,1,Landscape,172
200019486,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８５,万延１,1860,1,冊,1,Landscape,170
200019488,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８６,万延２,1861,1,冊,1,Landscape,172
200019489,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８６,万延２,1861,1,冊,1,Landscape,172
200019490,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８６,文久１,1861,1,冊,1,Landscape,172
200019491,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８６,文久１,1861,1,冊,1,Landscape,170
200019492,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８６,文久１,1861,1,冊,1,Landscape,170
200019493,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８６,文久１,1861,1,冊,1,Landscape,170
200019494,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８６,文久１,1861,1,冊,1,Landscape,176
200019495,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８６,文久１,1861,1,冊,1,Landscape,178
200019497,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８７,文久１,1861,1,冊,1,Landscape,178
200019499,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８７,文久１,1861,1,冊,1,Landscape,178
200019500,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８７,文久１,1861,1,冊,1,Landscape,178
200019501,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－２８８,文久１,1861,1,冊,1,Landscape,184
200019503,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８９,文久２,1862,1,冊,1,Landscape,180
200019504,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８９,文久２,1862,1,冊,1,Landscape,184
200019505,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８９,文久２,1862,1,冊,1,Landscape,184
200019506,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２８９,文久２,1862,1,冊,1,Landscape,184
200019508,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９０,文久２,1862,1,冊,1,Landscape,184
200019509,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２９１,文久３,1863,1,冊,1,Landscape,152
200019512,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９２,文久３,1863,1,冊,1,Landscape,176
200019513,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９２,文久３,1863,1,冊,1,Landscape,176
200019514,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９２,文久３,1863,1,冊,1,Landscape,179
200019515,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９２,文久３,1863,1,冊,1,Landscape,180
200019516,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９２,文久３,1863,1,冊,1,Landscape,180
200019517,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９２,文久３,1863,1,冊,1,Landscape,180
200019519,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９２,文久３,1863,1,冊,1,Landscape,182
200019520,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９２,文久３,1863,1,冊,1,Landscape,182
200019521,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９３,文久３,1863,1,冊,1,Landscape,178
200019525,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２９４,文久４,1864,1,冊,1,Landscape,154
200019526,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９４,文久４,1864,1,冊,1,Landscape,184
200019527,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２９４,文久４,1864,1,冊,1,Landscape,154
200019528,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９４,文久４,1864,1,冊,1,Landscape,184
200019529,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９４,元治１,1864,1,冊,1,Landscape,184
200019533,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２９６,元治１,1864,1,冊,1,Landscape,154
200019535,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９７,元治１,1864,1,冊,1,Landscape,178
200019536,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９７,元治１,1864,1,冊,1,Landscape,178
200019537,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９７,元治１,1864,1,冊,1,Landscape,178
200019538,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２９７,元治１,1864,1,冊,1,Landscape,154
200019541,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２９８,元治１,1864,1,冊,1,Landscape,154
200019542,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９８,元治１,1864,1,冊,1,Landscape,176
200019543,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２９８,元治１,1864,1,冊,1,Landscape,154
200019544,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９８,元治１,1864,1,冊,1,Landscape,180
200019545,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２９８,元治１,1864,1,冊,1,Landscape,154
200019546,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９８,元治１,1864,1,冊,1,Landscape,180
200019548,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２９９,元治１,1864,1,冊,1,Landscape,154
200019549,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９９,元治１,1864,1,冊,1,Landscape,186
200019550,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２９９,元治１,1864,1,冊,1,Landscape,154
200019551,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９９,元治１,1864,1,冊,1,Landscape,186
200019552,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２９９,元治１,1864,1,冊,1,Landscape,154
200019553,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２９９,元治１,1864,1,冊,1,Landscape,186
200019554,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３００,元治１,1864,1,冊,1,Landscape,186
200019556,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０１,元治２,1865,1,冊,1,Landscape,154
200019557,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－３０１,元治２,1865,1,冊,1,Landscape,192
200019558,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０１,元治２,1865,1,冊,1,Landscape,154
200019559,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－３０１,元治２,1865,1,冊,1,Landscape,192
200019560,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０１,元治２,1865,1,冊,1,Landscape,156
200019561,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－３０１,元治２,1865,1,冊,1,Landscape,194
200019565,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,1,Landscape,156
200019566,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,1,Landscape,190
200019568,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,1,Landscape,162
200019569,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,1,Landscape,190
200019570,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,1,Landscape,156
200019571,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,1,Landscape,190
200019572,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,1,Landscape,156
200019573,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－３０２,慶応１,1865,1,冊,1,Landscape,190
200019576,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０３,慶応１,1865,1,冊,1,Landscape,156
200019578,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－３０３,慶応１,1865,1,冊,1,Landscape,188
200019579,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０３,慶応１,1865,1,冊,1,Landscape,156
200019580,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－３０３,慶応１,1865,1,冊,1,Landscape,190
200019581,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０３,慶応１,1865,1,冊,1,Landscape,156
200019583,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３０３,慶応１,1865,1,冊,1,Landscape,188
200019585,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０４,慶応１,1865,1,冊,1,Landscape,156
200019586,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３０４,慶応１,1865,1,冊,1,Landscape,190
200019587,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０４,慶応１,1865,1,冊,1,Landscape,156
200019588,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３０４,慶応１,1865,1,冊,1,Landscape,190
200019589,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０４,慶応１,1865,1,冊,1,Landscape,156
200019590,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３０４,慶応１,1865,1,冊,1,Landscape,190
200019592,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３０５,慶応２,1866,1,冊,1,Landscape,190
200019593,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０５,慶応２,1866,1,冊,1,Landscape,156
200019594,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０５,慶応２,1866,1,冊,1,Landscape,156
200019595,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３０５,慶応２,1866,1,冊,1,Landscape,190
200019596,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０５,慶応２,1866,1,冊,1,Landscape,156
200019597,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３０５,慶応２,1866,1,冊,1,Landscape,190
200019599,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０６,慶応２,1866,1,冊,1,Landscape,157
200019600,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－３０６,慶応２,1866,1,冊,1,Landscape,192
200019601,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０６,慶応２,1866,1,冊,1,Landscape,153
200019602,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－３０６,慶応２,1866,1,冊,1,Landscape,194
200019604,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０６,慶応２,1866,1,冊,1,Landscape,153
200019605,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－３０６,慶応２,1866,1,冊,1,Landscape,194
200019607,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０７,慶応２,1866,1,冊,1,Landscape,153
200019608,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－３０７,慶応２,1866,1,冊,1,Landscape,192
200019609,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０７,慶応２,1866,1,冊,1,Landscape,153
200019610,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－３０７,慶応２,1866,1,冊,1,Landscape,194
200019611,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０７,慶応２,1866,1,冊,1,Landscape,153
200019612,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３０７,慶応２,1866,1,冊,1,Landscape,192
200019616,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０８,慶応２,1866,1,冊,1,Landscape,152
200019617,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３０８,慶応２,1866,1,冊,1,Landscape,192
200019618,H29.12,政治・法制,万世武鑑,ばんせいぶかん,banseibukan,刊,ＭＹ－１２０１－３０８,慶応２,1866,1,冊,1,Landscape,180
200019619,H29.12,政治・法制,有司武鑑,ゆうしぶかん,yūshibukan,刊,ＭＹ－１２０１－３０８,慶応２,1866,1,冊,1,Landscape,194
200019620,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３０８,慶応２,1866,1,冊,1,Landscape,152
200019621,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３０８,慶応２,1866,1,冊,1,Landscape,194
200019622,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３０９,慶応２,1866,1,冊,1,Landscape,190
200019624,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３１０,慶応３,1867,1,冊,1,Landscape,152
200019625,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３１０,慶応３,1867,1,冊,1,Landscape,192
200019626,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３１０,慶応３,1867,1,冊,1,Landscape,152
200019627,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３１０,慶応３,1867,1,冊,1,Landscape,190
200019628,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３１０,慶応３,1867,1,冊,1,Landscape,152
200019629,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３１０,慶応３,1867,1,冊,1,Landscape,190
200019631,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３１１,慶応３,1867,1,冊,1,Landscape,152
200019632,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３１１,慶応３,1867,1,冊,1,Landscape,190
200019633,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３１１,慶応３,1867,1,冊,1,Landscape,152
200019634,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－３１１,慶応３,1867,1,冊,1,Landscape,190
200019635,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－３１１,慶応３,1867,1,冊,1,Landscape,152
