国文研書誌ID,公開時期,オープンデータ分類,書名（統一書名）,TitleHiragana,TitleRomanji,刊・写,原本請求記号,刊年・書写年,（西暦）,冊数等,(単位),NrPages,Aspect,NrImages
200018782,H29.12,政治・法制,宝暦武鑑,ほうりゃくぶかん,hōryakubukan,刊,ＭＹ－１２０１－１１５,宝暦１１,1761,4,冊,2,Portrait,302
200018783,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－１１６,宝暦１１,1761,1,冊,2,Portrait,81
200018784,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－１１７,宝暦１２,1762,4,冊,2,Portrait,380
200018785,H29.12,政治・法制,宝暦武鑑,ほうりゃくぶかん,hōryakubukan,刊,ＭＹ－１２０１－１１８,宝暦１４,1764,1,冊,2,Portrait,399
200018787,H29.12,政治・法制,明和武鑑,めいわぶかん,meiwabukan,刊,ＭＹ－１２０１－１１９,明和１,1764,1,冊,2,Portrait,363
200018789,H29.12,政治・法制,明和武鑑,めいわぶかん,meiwabukan,刊,ＭＹ－１２０１－１２０,明和２,1765,4,冊,2,Portrait,395
200018791,H29.12,政治・法制,安永武鑑,あんえいぶかん,aneibukan,刊,ＭＹ－１２０１－１２１,安永２,1773,4,冊,2,Portrait,433
200018792,H29.12,政治・法制,安永武鑑,あんえいぶかん,aneibukan,刊,ＭＹ－１２０１－１２２,［安永２］,[1773],2,冊,2,Portrait,281
200018794,H29.12,政治・法制,安永武鑑,あんえいぶかん,aneibukan,刊,ＭＹ－１２０１－１２３,［安永２～３］,[1773],,,2,Portrait,46
200018795,H29.12,政治・法制,安永武鑑,あんえいぶかん,aneibukan,刊,ＭＹ－１２０１－１２６,安永７,1778,,,2,Portrait,382
200018796,H29.12,政治・法制,安永武鑑,あんえいぶかん,aneibukan,刊,ＭＹ－１２０１－１２４,安永４,1775,1,冊,2,Portrait,292
200018798,H29.12,政治・法制,安永武鑑,あんえいぶかん,aneibukan,刊,ＭＹ－１２０１－１２５,［安永６］,[1777],1,冊,2,Portrait,51
200018799,H29.12,政治・法制,安永武鑑,あんえいぶかん,aneibukan,刊,ＭＹ－１２０１－１２７,安永８,1779,1,冊,2,Portrait,435
200018800,H29.12,政治・法制,安永武鑑,あんえいぶかん,aneibukan,刊,ＭＹ－１２０１－１２８,安永９,1780,1,冊,2,Portrait,109
200018801,H29.12,政治・法制,安永武鑑,あんえいぶかん,aneibukan,刊,ＭＹ－１２０１－１２９,安永１０,1781,4,冊,2,Portrait,434
200018803,H29.12,政治・法制,天明武鑑,てんめいぶかん,tenmeibukan,刊,ＭＹ－１２０１－１３０,天明１,1781,1,冊,2,Portrait,447
200018804,H29.12,政治・法制,天明武鑑,てんめいぶかん,tenmeibukan,刊,ＭＹ－１２０１－１３１,天明２,1782,3,冊,2,Portrait,399
200018809,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－１３２,天明２,1782,4,冊,2,Portrait,475
200018810,H29.12,政治・法制,天明武鑑,てんめいぶかん,tenmeibukan,刊,ＭＹ－１２０１－１３３,天明３,1783,1,冊,2,Portrait,451
200018813,H29.12,政治・法制,天明武鑑,てんめいぶかん,tenmeibukan,刊,ＭＹ－１２０１－１３４,［天明３］,[1783],,,2,Portrait,51
200018814,H29.12,政治・法制,天明武鑑,てんめいぶかん,tenmeibukan,刊,ＭＹ－１２０１－１３８,天明８,1788,,,2,Portrait,411
200018817,H29.12,政治・法制,天明武鑑,てんめいぶかん,tenmeibukan,刊,ＭＹ－１２０１－１３５,天明５,1785,1,冊,2,Portrait,463
200018820,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－１３６,天明５,1785,4,冊,2,Portrait,478
200018822,H29.12,政治・法制,天明武鑑,てんめいぶかん,tenmeibukan,刊,ＭＹ－１２０１－１３７,天明７,1787,1,冊,2,Portrait,435
200018823,H27.11,政治・法制,寛政武鑑,かんせいぶかん,kanseibukan,刊,ＭＹ－１２０１－１３９,寛政1,1789,4,冊,2,Portrait,455
